"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","203","Update user and validate response","","Fri Dec 05 07:26:27 UTC 2025","passed","Fri Dec 05 07:26:27 UTC 2025","","Update User @api:","Update User @api:","Update user and validate response"
"","7679","Sort products by name and validate","","Fri Dec 05 07:25:37 UTC 2025","passed","Fri Dec 05 07:25:45 UTC 2025","","Sort Products @web:","Sort Products @web:","Sort products by name and validate"
"","130","Validate response time with delay parameter {""delay"":""0""}","","Fri Dec 05 07:26:24 UTC 2025","passed","Fri Dec 05 07:26:24 UTC 2025","","Parametrized Delay Validation @api:","Parametrized Delay Validation @api:","Validate response time with delay parameter {""delay"":""0""}"
"","22791","Add all items, remove third item, and complete purchase","","Fri Dec 05 07:26:00 UTC 2025","passed","Fri Dec 05 07:26:23 UTC 2025","","Complete Purchase Flow @web:","Complete Purchase Flow @web:","Add all items, remove third item, and complete purchase"
"","125","Create user and validate creation date","","Fri Dec 05 07:26:27 UTC 2025","passed","Fri Dec 05 07:26:27 UTC 2025","","Create New User @api:","Create New User @api:","Create user and validate creation date"
"","15753","Find item by name and add to cart from item page","","Fri Dec 05 07:25:45 UTC 2025","failed","Fri Dec 05 07:26:00 UTC 2025","","Add Item to Cart from Item Page @web:","Add Item to Cart from Item Page @web:","Find item by name and add to cart from item page"
"","3127","Validate response time with delay parameter {""delay"":""3""}","","Fri Dec 05 07:26:24 UTC 2025","failed","Fri Dec 05 07:26:27 UTC 2025","","Parametrized Delay Validation @api:","Parametrized Delay Validation @api:","Validate response time with delay parameter {""delay"":""3""}"
"","43","Get users list and print odd ID users","","Fri Dec 05 07:26:27 UTC 2025","passed","Fri Dec 05 07:26:27 UTC 2025","","Get List of Users @api:","Get List of Users @api:","Get users list and print odd ID users"
"","6886","Validate login failure for locked out user","","Fri Dec 05 07:25:30 UTC 2025","passed","Fri Dec 05 07:25:37 UTC 2025","","Login Validation @web:","Login Validation @web:","Validate login failure for locked out user"
"","294","Login without password should fail","","Fri Dec 05 07:26:23 UTC 2025","passed","Fri Dec 05 07:26:24 UTC 2025","","Login Validation @api:","Login Validation @api:","Login without password should fail"
